no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
43828,22855,12.04.28.2010,12,04,28,2010,1204282010,0,1,Sihare'o III Bawosalo'o Berua,Ma'u,Kabupaten,Nias,Sumatera Utara,219
43829,22855,12.04.28.2011,12,04,28,2011,1204282011,0,1,Sihare'o III Hilibadalu,Ma'u,Kabupaten,Nias,Sumatera Utara,219
43830,22855,12.04.28.2004,12,04,28,2004,1204282004,0,1,Sisarahilima'u (Sisarahili Ma U),Ma'u,Kabupaten,Nias,Sumatera Utara,219
43831,22855,12.04.28.2006,12,04,28,2006,1204282006,0,1,Tuhemberua,Ma'u,Kabupaten,Nias,Sumatera Utara,219
44666,75769,64.11.04.2006,64,11,04,2006,6411042006,0,1,Tiong Bu'u (Tiong Buu),Long Apari,Kabupaten,Mahakam Ulu,Kalimantan Timur,223
44669,22864,12.14.08.2004,12,14,08,2004,1214082004,0,1,Bawosalo'o Siwalawa (Bawosaloo Sowalawa),Lolowau,Kabupaten,Nias Selatan,Sumatera Utara,223
44698,22867,12.14.01.2024,12,14,01,2024,1214012024,0,1,Ko'olotano,Lolomatua,Kabupaten,Nias Selatan,Sumatera Utara,223
45653,23355,11.06.02.2010,11,06,02,2010,1106022010,0,1,Aneuk Paya (Ateuk Paya),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45654,23355,11.06.02.2008,11,06,02,2008,1106022008,0,1,Kueh,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45655,23355,11.06.02.2007,11,06,02,2007,1106022007,0,1,Lam Ateuk,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45656,23355,11.06.02.2006,11,06,02,2006,1106022006,0,1,Lambaro Kueh,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45657,23355,11.06.02.2013,11,06,02,2013,1106022013,0,1,Lambaro Seubun,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45658,23355,11.06.02.2026,11,06,02,2026,1106022026,0,1,Lamcok (Lam Cok),Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
