prov_code,kab_code,full_code,tipe,nama_kab_kota
73,12,7312,Kabupaten,Soppeng
73,13,7313,Kabupaten,Wajo
73,14,7314,Kabupaten,Sidenreng Rappang
73,15,7315,Kabupaten,Pinrang
73,16,7316,Kabupaten,Enrekang
73,17,7317,Kabupaten,Luwu
73,18,7318,Kabupaten,Tana Toraja
73,22,7322,Kabupaten,Luwu Utara
73,24,7324,Kabupaten,Luwu Timur
73,26,7326,Kabupaten,Toraja Utara
73,71,7371,Kota,Makassar
73,72,7372,Kota,Pare Pare
73,73,7373,Kota,Palopo
74,01,7401,Kabupaten,Kolaka
74,02,7402,Kabupaten,Konawe
74,03,7403,Kabupaten,Muna
74,04,7404,Kabupaten,Buton
74,05,7405,Kabupaten,Konawe Selatan
74,06,7406,Kabupaten,Bombana
74,07,7407,Kabupaten,Wakatobi
74,08,7408,Kabupaten,Kolaka Utara
74,09,7409,Kabupaten,Konawe Utara
74,10,7410,Kabupaten,Buton Utara
74,11,7411,Kabupaten,Kolaka Timur
74,12,7412,Kabupaten,Konawe Kepulauan
74,13,7413,Kabupaten,Muna Barat
74,14,7414,Kabupaten,Buton Tengah
74,15,7415,Kabupaten,Buton Selatan
74,71,7471,Kota,Kendari
74,72,7472,Kota,Bau Bau
75,01,7501,Kabupaten,Gorontalo
75,02,7502,Kabupaten,Boalemo
75,03,7503,Kabupaten,Bone Bolango
75,04,7504,Kabupaten,Pahuwato
75,05,7505,Kabupaten,Gorontalo Utara
75,71,7571,Kota,Gorontalo
76,01,7601,Kabupaten,Pasangkayu (Mamuju Utara)
76,02,7602,Kabupaten,Mamuju
76,03,7603,Kabupaten,Mamasa
76,04,7604,Kabupaten,Polewali Mandar
76,05,7605,Kabupaten,Majene
76,06,7606,Kabupaten,Mamuju Tengah
81,01,8101,Kabupaten,Maluku Tengah
81,02,8102,Kabupaten,Maluku Tenggara
81,03,8103,Kabupaten,Kepulauan Tanimbar (Maluku Tenggara Barat)
81,04,8104,Kabupaten,Buru
81,05,8105,Kabupaten,Seram Bagian Timur
81,06,8106,Kabupaten,Seram Bagian Barat
81,07,8107,Kabupaten,Kepulauan Aru
81,08,8108,Kabupaten,Maluku Barat Daya
81,09,8109,Kabupaten,Buru Selatan
81,71,8171,Kota,Ambon
81,72,8172,Kota,Tual
82,01,8201,Kabupaten,Halmahera Barat
82,02,8202,Kabupaten,Halmahera Tengah
82,03,8203,Kabupaten,Halmahera Utara
82,04,8204,Kabupaten,Halmahera Selatan
82,05,8205,Kabupaten,Kepulauan Sula
82,06,8206,Kabupaten,Halmahera Timur
82,07,8207,Kabupaten,Pulau Morotai
82,08,8208,Kabupaten,Pulau Taliabu
82,71,8271,Kota,Ternate
82,72,8272,Kota,Tidore Kepulauan
91,03,9103,Kabupaten,Jayapura
91,05,9105,Kabupaten,Kepulauan Yapen
91,06,9106,Kabupaten,Biak Numfor
91,10,9110,Kabupaten,Sarmi
91,11,9111,Kabupaten,Keerom
91,15,9115,Kabupaten,Waropen
91,19,9119,Kabupaten,Supiori
91,20,9120,Kabupaten,Mamberamo Raya
91,71,9171,Kota,Jayapura
92,01,9201,Kabupaten,Sorong
92,02,9202,Kabupaten,Manokwari
92,03,9203,Kabupaten,Fak Fak
92,04,9204,Kabupaten,Sorong Selatan
92,05,9205,Kabupaten,Raja Ampat
92,06,9206,Kabupaten,Teluk Bintuni
92,07,9207,Kabupaten,Teluk Wondama
92,08,9208,Kabupaten,Kaimana
92,09,9209,Kabupaten,Tambrauw
92,10,9210,Kabupaten,Maybrat
92,11,9211,Kabupaten,Manokwari Selatan
92,12,9212,Kabupaten,Pegunungan Arfak
92,71,9271,Kota,Sorong
93,01,9301,Kabupaten,Merauke
93,02,9302,Kabupaten,Boven Digoel
93,03,9303,Kabupaten,Mappi
93,04,9304,Kabupaten,Asmat
94,01,9401,Kabupaten,Nabire
94,02,9402,Kabupaten,Puncak Jaya
94,03,9403,Kabupaten,Paniai
94,04,9404,Kabupaten,Mimika
94,05,9405,Kabupaten,Puncak
94,06,9406,Kabupaten,Dogiyai
94,07,9407,Kabupaten,Intan Jaya
94,08,9408,Kabupaten,Deiyai
95,01,9501,Kabupaten,Jayawijaya
95,02,9502,Kabupaten,Pegunungan Bintang
95,03,9503,Kabupaten,Yahukimo
95,04,9504,Kabupaten,Tolikara
95,05,9505,Kabupaten,Mamberamo Tengah
95,06,9506,Kabupaten,Yalimo
95,07,9507,Kabupaten,Lanny Jaya
95,08,9508,Kabupaten,Nduga
